Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""906380"", ""Layout"": ""4+1"", ""Floor"": ""3. podlaží z 2"", ""Price per unit"": ""€3,919/ m2"", ""Užitná plocha"": ""135m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,906380,"€3,919/ m2",,,,135m²,3. podlaží z 2,Good,4+1,Over 50 years,,,
"{""Listing ID"": ""906381"", ""Price per unit"": ""€563/ m2"", ""Plot space"": ""320m²"", """": ""MHD 1 minute on foot""}",True,906381,€563/ m2,,,,,,,,,320m²,,
"{""Listing ID"": ""906382"", ""Layout"": ""1 bedroom"", ""Floor"": ""3. podlaží z 5"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""33m²"", ""Condition"": ""Good"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€5,758/ m2"", """": ""MHD 3 minutes on foot""}",True,906382,"€5,758/ m2",,E - Wasteful,,33m²,3. podlaží z 5,Good,1 bedroom,Over 50 years,,,
"{""Listing ID"": ""906383"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""68m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""2. podlaží z 2"", ""Price per unit"": ""€4,382/ m2"", """": ""Cellar""}",True,906383,"€4,382/ m2",,,08/06/2025,68m²,2. podlaží z 2,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906384"", ""Plot space"": ""110m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,421/ m2"", ""Užitná plocha"": ""190m²"", ""Condition"": ""After reconstruction"", ""Total floors"": ""2"", """": ""MHD 1 minute on foot""}",True,906384,"€3,421/ m2",,,,190m²,,After reconstruction,,Over 50 years,110m²,2,
"{""Listing ID"": ""906385"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€6/ m2"", ""Užitná plocha"": ""50m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""1. podlaží z 5"", """": ""MHD 3 minutes on foot""}",True,906385,€6/ m2,,,08/06/2025,50m²,1. podlaží z 5,After reconstruction,2 bedroom,,,,
"{""Listing ID"": ""906386"", ""Layout"": ""5+1"", ""Plot space"": ""179m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""105m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,381/ m2"", """": ""MHD 1 minute on foot""}",True,906386,"€2,381/ m2",,D - Less economical,08/06/2025,105m²,,Good,5+1,Over 50 years,179m²,2,
"{""Listing ID"": ""906388"", ""Layout"": ""4+1"", ""Plot space"": ""143m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""3"", ""Užitná plocha"": ""98m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,592/ m2"", """": ""Garage""}",True,906388,"€4,592/ m2",,E - Wasteful,08/06/2025,98m²,,After reconstruction,4+1,Over 50 years,143m²,3,
"{""Listing ID"": ""906389"", ""Layout"": ""4+1"", ""Condition"": ""Before reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""76m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€3,355/ m2"", """": ""Garage""}",True,906389,"€3,355/ m2",,F - Very uneconomical,08/06/2025,76m²,,Before reconstruction,4+1,Over 50 years,,,
"{""Listing ID"": ""906391"", ""Plot space"": ""2,800m²"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""858m²"", ""Condition"": ""Very good"", ""Price per unit"": ""€2,902/ m2"", """": ""MHD 1 minute on foot""}",True,906391,"€2,902/ m2",,,,,,Very good,,Over 50 years,"2,800m²",,
"{""Listing ID"": ""906394"", ""Layout"": ""3+1"", ""Condition"": ""Very good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€14/ m2"", ""Užitná plocha"": ""104m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""1. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""MHD 4 minutes on foot""}",True,906394,€14/ m2,,C - Economical,01/08/2025,104m²,1. podlaží z 3,Very good,3+1,Over 50 years,,,
"{""Listing ID"": ""906397"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""43m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€5,791/ m2"", """": ""MHD 6 minutes on foot""}",True,906397,"€5,791/ m2",,,08/06/2025,43m²,1. podlaží z 2,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906400"", ""Layout"": ""2 bedroom"", ""Floor"": ""4. podlaží z 5"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""65m²"", ""Condition"": ""After reconstruction"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€4,585/ m2"", """": ""MHD 2 minutes on foot""}",True,906400,"€4,585/ m2",,E - Wasteful,,65m²,4. podlaží z 5,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906402"", ""Layout"": ""5+1"", ""Plot space"": ""306m²"", ""Total floors"": ""3"", ""Užitná plocha"": ""115m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Price per unit"": ""€2,957/ m2"", """": ""MHD 6 minutes on foot""}",True,906402,"€2,957/ m2",,,08/06/2025,115m²,,Good,5+1,,306m²,3,
"{""Listing ID"": ""906406"", ""Layout"": ""6+1"", ""Plot space"": ""950m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,642/ m2"", ""Užitná plocha"": ""137m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""After reconstruction"", ""Total floors"": ""2"", """": ""Garage""}",True,906406,"€3,642/ m2",,,08/06/2025,137m²,,After reconstruction,6+1,Over 50 years,950m²,2,
"{""Listing ID"": ""906409"", ""Layout"": ""2 bedroom"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""60m²"", ""Condition"": ""New-build"", ""Price per unit"": ""€3,600/ m2"", """": ""Lift""}",True,906409,"€3,600/ m2",,,,60m²,,New-build,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906410"", ""Layout"": ""6+1"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""250m²"", ""Plot space"": ""1,645m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,260/ m2"", """": ""Garage""}",True,906410,"€3,260/ m2",,D - Less economical,,250m²,,,6+1,Over 50 years,"1,645m²",2,
"{""Listing ID"": ""906411"", ""Layout"": ""2 bedroom"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€8/ m2"", ""Užitná plocha"": ""126m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""MHD 3 minutes on foot""}",True,906411,€8/ m2,,F - Very uneconomical,,126m²,,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906415"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€5,436/ m2"", ""Užitná plocha"": ""75m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""4. podlaží z 1"", ""Age"": ""Over 50 years"", """": ""MHD 3 minutes on foot""}",True,906415,"€5,436/ m2",,D - Less economical,08/06/2025,75m²,4. podlaží z 1,Good,3+1,Over 50 years,,,
"{""Listing ID"": ""906416"", ""Layout"": ""6+1"", ""Plot space"": ""394m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""3"", ""Užitná plocha"": ""170m²"", ""Available from"": ""01/01/2026"", ""Condition"": ""New-build"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,971/ m2"", """": ""MHD 1 minute on foot""}",True,906416,"€3,971/ m2",,A - Extremely economical,01/01/2026,170m²,,New-build,6+1,Over 50 years,394m²,3,
"{""Listing ID"": ""906419"", ""Layout"": ""4+1"", ""Condition"": ""Before reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,765/ m2"", ""Užitná plocha"": ""85m²"", ""Plot space"": ""229m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""2"", """": ""Garage""}",True,906419,"€3,765/ m2",,G - Extremely uneconomical,,85m²,,Before reconstruction,4+1,Over 50 years,229m²,2,
"{""Listing ID"": ""906420"", ""Plot space"": ""758m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""221m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€9/ m2"", """": ""MHD 5 minutes on foot""}",True,906420,€9/ m2,,C - Economical,,221m²,,Good,,Over 50 years,758m²,2,
"{""Listing ID"": ""906426"", ""Layout"": ""7+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,896/ m2"", ""Užitná plocha"": ""212m²"", ""Plot space"": ""530m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""3"", """": ""MHD 4 minutes on foot""}",True,906426,"€5,896/ m2",,C - Economical,,212m²,,Good,7+1,Over 50 years,530m²,3,
"{""Listing ID"": ""906427"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,344/ m2"", ""Užitná plocha"": ""160m²"", ""Plot space"": ""425m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""2"", """": ""Garage""}",True,906427,"€2,344/ m2",,C - Economical,,160m²,,After reconstruction,5+1,Over 50 years,425m²,2,
"{""Listing ID"": ""906429"", ""Layout"": ""5+1"", ""Plot space"": ""294m²"", ""EPC"": ""B - Very economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""180m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,106/ m2"", """": ""Garage""}",True,906429,"€3,106/ m2",,B - Very economical,08/06/2025,180m²,,Good,5+1,Over 50 years,294m²,2,
"{""Listing ID"": ""906431"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€4,091/ m2"", ""Užitná plocha"": ""88m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""2. podlaží z 2"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,906431,"€4,091/ m2",,E - Wasteful,08/06/2025,88m²,2. podlaží z 2,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""906432"", ""Layout"": ""4+1"", ""Condition"": ""For demolition"", ""Price per unit"": ""€3,500/ m2"", ""Užitná plocha"": ""340m²"", ""Plot space"": ""477m²"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,906432,"€3,500/ m2",,,,340m²,,For demolition,4+1,Over 50 years,477m²,,
"{""Listing ID"": ""906433"", ""Layout"": ""7+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,936/ m2"", ""Užitná plocha"": ""235m²"", ""Plot space"": ""1,750m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", """": ""MHD 0 minutes on foot""}",True,906433,"€1,936/ m2",,D - Less economical,,235m²,,Good,7+1,Over 50 years,"1,750m²",2,
"{""Listing ID"": ""906434"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€4,270/ m2"", ""Užitná plocha"": ""63m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""3. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,906434,"€4,270/ m2",,E - Wasteful,08/06/2025,63m²,3. podlaží z 3,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906438"", ""Layout"": ""3+1"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€12/ m2"", ""Užitná plocha"": ""112m²"", ""Condition"": ""New-build"", ""Age"": ""Over 50 years"", """": ""MHD 2 minutes on foot""}",True,906438,€12/ m2,,A - Extremely economical,,112m²,,New-build,3+1,Over 50 years,,,
"{""Listing ID"": ""906441"", ""Layout"": ""3+1"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€4,012/ m2"", ""Užitná plocha"": ""84m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,906441,"€4,012/ m2",,E - Wasteful,,84m²,,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""906443"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€5,543/ m2"", ""Užitná plocha"": ""70m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""4. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""Cellar""}",True,906443,"€5,543/ m2",,E - Wasteful,08/06/2025,70m²,4. podlaží z 4,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""906444"", ""Layout"": ""6+1"", ""Plot space"": ""212m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,750/ m2"", ""Užitná plocha"": ""120m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""3"", """": ""Garage""}",True,906444,"€3,750/ m2",,G - Extremely uneconomical,08/06/2025,120m²,,,6+1,Over 50 years,212m²,3,
"{""Listing ID"": ""906446"", ""Plot space"": ""2,048m²"", ""Price per unit"": ""€492/ m2"", ""Plocha nebytového prostoru"": ""1,180m²"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,906446,€492/ m2,,,,,,,,Over 50 years,"2,048m²",,
"{""Listing ID"": ""906447"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Total floors"": ""2"", ""Užitná plocha"": ""683m²"", ""Plot space"": ""16,700m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,921/ m2"", """": ""MHD 5 minutes on foot""}",True,906447,"€2,921/ m2",,,08/06/2025,683m²,,Good,,Over 50 years,"16,700m²",2,
"{""Listing ID"": ""906448"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€3,874/ m2"", ""Užitná plocha"": ""103m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""4. podlaží z 1"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,906448,"€3,874/ m2",,D - Less economical,08/06/2025,103m²,4. podlaží z 1,Good,3+1,Over 50 years,,,
"{""Listing ID"": ""906449"", ""Layout"": ""4+kk"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€7,000/ m2"", ""Užitná plocha"": ""107m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""MHD 4 minutes on foot""}",True,906449,"€7,000/ m2",,F - Very uneconomical,,107m²,,Good,4+kk,Over 50 years,,,
"{""Listing ID"": ""906450"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€8,774/ m2"", ""Užitná plocha"": ""106m²"", ""Available from"": ""01/07/2025"", ""Floor"": ""2. podlaží z 5"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,906450,"€8,774/ m2",,D - Less economical,01/07/2025,106m²,2. podlaží z 5,Good,3+1,Over 50 years,,,
"{""Listing ID"": ""906453"", ""Plot space"": ""737m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,495/ m2"", ""Užitná plocha"": ""1,042m²"", ""Condition"": ""Good"", ""Total floors"": ""4"", """": ""MHD 1 minute on foot""}",True,906453,"€2,495/ m2",,,,"1,042m²",,Good,,Over 50 years,737m²,4,
"{""Listing ID"": ""906454"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,000/ m2"", ""Užitná plocha"": ""220m²"", ""Plot space"": ""1,576m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""3"", """": ""MHD 1 minute on foot""}",True,906454,"€5,000/ m2",,D - Less economical,08/06/2025,220m²,,Good,,Over 50 years,"1,576m²",3,
"{""Listing ID"": ""906456"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""72m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€7/ m2"", """": ""Garage""}",True,906456,€7/ m2,,B - Very economical,08/06/2025,72m²,,After reconstruction,4+1,Over 50 years,,,
"{""Listing ID"": ""906457"", ""Plot space"": ""469m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""142m²"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€9,155/ m2"", """": ""Cellar""}",True,906457,"€9,155/ m2",,C - Economical,,142m²,,Very good,,Over 50 years,469m²,2,
"{""Listing ID"": ""906459"", ""Condition"": ""Good"", ""Plocha nebytového prostoru"": ""80m²"", ""Price per unit"": ""€6/ m2"", """": ""MHD 2 minutes on foot""}",True,906459,€6/ m2,,,,,,Good,,,,,
"{""Listing ID"": ""906460"", ""Layout"": ""5+1"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""120m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€4,158/ m2"", """": ""MHD 1 minute on foot""}",True,906460,"€4,158/ m2",,,,120m²,,After reconstruction,5+1,Over 50 years,,,
"{""Listing ID"": ""906461"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""73m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""2. podlaží z 3"", ""Price per unit"": ""€8/ m2"", """": ""MHD 3 minutes on foot""}",True,906461,€8/ m2,,,08/06/2025,73m²,2. podlaží z 3,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906462"", ""Available from"": ""08/06/2025"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,655/ m2"", ""Užitná plocha"": ""249m²"", ""Plot space"": ""249m²"", ""EPC"": ""B - Very economical"", ""Total floors"": ""3"", """": ""Garage""}",True,906462,"€4,655/ m2",,B - Very economical,08/06/2025,249m²,,Very good,,Over 50 years,249m²,3,
"{""Listing ID"": ""906463"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€6/ m2"", ""Užitná plocha"": ""82m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""2. podlaží"", """": ""MHD 1 minute on foot""}",True,906463,€6/ m2,,,08/06/2025,82m²,2. podlaží,After reconstruction,2 bedroom,,,,
"{""Listing ID"": ""906465"", ""Plot space"": ""960m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,470/ m2"", ""Užitná plocha"": ""317m²"", ""Condition"": ""Good"", ""Total floors"": ""4"", """": ""Garage""}",True,906465,"€3,470/ m2",,,,317m²,,Good,,Over 50 years,960m²,4,
"{""Listing ID"": ""906467"", ""Plot space"": ""1,036m²"", ""Available from"": ""08/06/2025"", ""Price per unit"": ""€251/ m2"", """": ""MHD 2 minutes on foot""}",True,906467,€251/ m2,,,08/06/2025,,,,,,"1,036m²",,
"{""Listing ID"": ""906468"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Total floors"": ""1"", ""Užitná plocha"": ""67m²"", ""Plot space"": ""80m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,015/ m2"", """": ""MHD 1 minute on foot""}",True,906468,"€4,015/ m2",,,,67m²,,Good,3+1,Over 50 years,80m²,1,
"{""Listing ID"": ""906469"", ""Plot space"": ""2,500m²"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""840m²"", ""Condition"": ""Good"", ""Price per unit"": ""€3/ m2"", """": ""MHD 4 minutes on foot""}",True,906469,€3/ m2,,,,,,Good,,Over 50 years,"2,500m²",,
"{""Listing ID"": ""906470"", ""Layout"": ""7+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,896/ m2"", ""Užitná plocha"": ""212m²"", ""Plot space"": ""530m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""3"", """": ""MHD 4 minutes on foot""}",True,906470,"€5,896/ m2",,C - Economical,,212m²,,Good,7+1,Over 50 years,530m²,3,
"{""Listing ID"": ""906471"", ""Layout"": ""6+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,548/ m2"", ""Užitná plocha"": ""186m²"", ""Plot space"": ""723m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""2"", """": ""MHD 1 minute on foot""}",True,906471,"€3,548/ m2",,A - Extremely economical,,186m²,,After reconstruction,6+1,Over 50 years,723m²,2,
"{""Listing ID"": ""906473"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,004/ m2"", ""Užitná plocha"": ""1,195m²"", ""Plot space"": ""647m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""4"", """": ""MHD 1 minute on foot""}",True,906473,"€1,004/ m2",,D - Less economical,08/06/2025,"1,195m²",,Good,,Over 50 years,647m²,4,
"{""Listing ID"": ""906474"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""81m²"", ""Available from"": ""01/05/2025"", ""Floor"": ""4. podlaží z 4"", ""Price per unit"": ""€17/ m2"", """": ""MHD 2 minutes on foot""}",True,906474,€17/ m2,,,01/05/2025,81m²,4. podlaží z 4,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906475"", ""Layout"": ""3+kk"", ""Condition"": ""After reconstruction"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€9/ m2"", ""Užitná plocha"": ""139m²"", ""Available from"": ""15/07/2025"", ""Floor"": ""Ground floor"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,906475,€9/ m2,,D - Less economical,15/07/2025,139m²,Ground floor,After reconstruction,3+kk,Over 50 years,,,
"{""Listing ID"": ""906476"", ""Layout"": ""6+1"", ""Floor"": ""1. podlaží z 2"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""170m²"", ""Condition"": ""New-build"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€7,206/ m2"", """": ""Garage""}",True,906476,"€7,206/ m2",,A - Extremely economical,,170m²,1. podlaží z 2,New-build,6+1,Over 50 years,,,
"{""Listing ID"": ""906477"", ""Layout"": ""4+1"", ""Plot space"": ""413m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,708/ m2"", ""Užitná plocha"": ""113m²"", ""Available from"": ""01/10/2026"", ""Condition"": ""Very good"", ""Total floors"": ""2"", """": ""MHD 1 minute on foot""}",True,906477,"€5,708/ m2",,,01/10/2026,113m²,,Very good,4+1,Over 50 years,413m²,2,
"{""Listing ID"": ""904871"", ""Layout"": ""4+kk"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""New-build"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""CZK 185,470/ m2"", ""Užitná plocha"": ""117m²"", ""Location"": ""Centre"", ""Available from"": ""01/06/2025"", ""Floor"": ""6. podlaží z 6"", ""Building construction"": ""Mixed"", ""Designe"": ""Luxurious"", """": ""Basement: 4.7 m²""}",True,904871,"CZK 185,470/ m2",Centre,B - Very economical,01/06/2025,117m²,6. podlaží z 6,New-build,4+kk,,,,
"{""Listing ID"": ""906479"", ""Layout"": ""6+1"", ""Plot space"": ""850m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,136/ m2"", ""Užitná plocha"": ""169m²"", ""Available from"": ""01/07/2025"", ""Condition"": ""Good"", ""Total floors"": ""2"", """": ""MHD 0 minutes on foot""}",True,906479,"€3,136/ m2",,,01/07/2025,169m²,,Good,6+1,Over 50 years,850m²,2,
"{""Listing ID"": ""906482"", ""Layout"": ""3+1"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""99m²"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€13/ m2"", """": ""Lift""}",True,906482,€13/ m2,,A - Extremely economical,,99m²,,,3+1,Over 50 years,,,
"{""Listing ID"": ""906483"", ""Layout"": ""2 bedroom"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€5,306/ m2"", ""Užitná plocha"": ""62m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""Cellar""}",True,906483,"€5,306/ m2",,F - Very uneconomical,,62m²,,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906484"", ""Plot space"": ""1,200m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""2"", ""Užitná plocha"": ""700m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€0/ m2"", """": ""Garage""}",True,906484,€0/ m2,,F - Very uneconomical,,700m²,,After reconstruction,,Over 50 years,"1,200m²",2,
"{""Listing ID"": ""906487"", ""Available from"": ""08/06/2025"", ""Condition"": ""New-build"", ""Price per unit"": ""€11/ m2"", ""Plocha nebytového prostoru"": ""55m²"", ""Plot space"": ""2,000m²"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,906487,€11/ m2,,,08/06/2025,,,New-build,,Over 50 years,"2,000m²",,
"{""Listing ID"": ""906488"", ""Plot space"": ""2,400m²"", ""Price per unit"": ""€9/ m2"", ""Plocha nebytového prostoru"": ""445m²"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,906488,€9/ m2,,,,,,,,Over 50 years,"2,400m²",,
"{""Listing ID"": ""906490"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€26/ m2"", ""Užitná plocha"": ""61m²"", ""Fully furnished"": ""Fully furnished"", ""Floor"": ""4. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""Cellar""}",True,906490,€26/ m2,,D - Less economical,,61m²,4. podlaží z 4,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""906491"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€10/ m2"", ""Užitná plocha"": ""86m²"", ""Available from"": ""01/05/2025"", ""Age"": ""Over 50 years"", """": ""MHD 8 minutes on foot""}",True,906491,€10/ m2,,,01/05/2025,86m²,,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""906492"", ""Layout"": ""2+kk"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""40m²"", ""Fully furnished"": ""Fully furnished"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€29/ m2"", """": ""MHD 3 minutes on foot""}",True,906492,€29/ m2,,,,40m²,1. podlaží z 2,Very good,2+kk,Over 50 years,,,
"{""Listing ID"": ""906493"", ""Available from"": ""08/06/2025"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""92m²"", ""Condition"": ""Good"", ""Price per unit"": ""€8/ m2"", """": ""Parking""}",True,906493,€8/ m2,,,08/06/2025,,,Good,,Over 50 years,,,
"{""Listing ID"": ""906494"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,385/ m2"", ""Užitná plocha"": ""130m²"", ""Plot space"": ""400m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""2"", """": ""Garage""}",True,906494,"€5,385/ m2",,E - Wasteful,,130m²,,Good,4+1,Over 50 years,400m²,2,
