Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""903841"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Building construction"": ""Mixed"", ""Price per unit"": ""CZK 357/ m2"", ""Užitná plocha"": ""56m²"", ""Location"": ""Centre"", ""Available from"": ""10/05/2025"", ""Floor"": ""4. podlaží z 4"", ""EPC"": ""A - Extremely economical""}",True,903841,CZK 357/ m2,Centre,A - Extremely economical,10/05/2025,56m²,4. podlaží z 4,Very good,2+kk,,,,
"{""Listing ID"": ""904348"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""Price per unit"": ""€11/ m2"", ""Užitná plocha"": ""90m²"", ""Available from"": ""08/06/2025"", ""Age"": ""Over 50 years"", """": ""MHD 3 minutes on foot""}",True,904348,€11/ m2,,,08/06/2025,90m²,,Good,4+1,Over 50 years,,,
"{""Listing ID"": ""904350"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""77m²"", ""Available from"": ""01/06/2025"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€10/ m2"", """": ""Cellar""}",True,904350,€10/ m2,,E - Wasteful,01/06/2025,77m²,,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904351"", ""Layout"": ""2 bedroom"", ""Floor"": ""1. podlaží z 3"", ""Price per unit"": ""€3,333/ m2"", ""Užitná plocha"": ""45m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,904351,"€3,333/ m2",,,,45m²,1. podlaží z 3,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904352"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€10/ m2"", ""Užitná plocha"": ""63m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""3. podlaží z 3"", """": ""MHD 2 minutes on foot""}",True,904352,€10/ m2,,,08/06/2025,63m²,3. podlaží z 3,After reconstruction,2 bedroom,,,,
"{""Listing ID"": ""904353"", ""Layout"": ""5+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,970/ m2"", ""Užitná plocha"": ""139m²"", ""Plot space"": ""552m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""3"", """": ""Garage""}",True,904353,"€5,970/ m2",,C - Economical,,139m²,,Good,5+1,Over 50 years,552m²,3,
"{""Listing ID"": ""904359"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,188/ m2"", ""Užitná plocha"": ""96m²"", ""Plot space"": ""100m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""3"", """": ""MHD 2 minutes on foot""}",True,904359,"€2,188/ m2",,F - Very uneconomical,,96m²,,After reconstruction,4+1,Over 50 years,100m²,3,
"{""Listing ID"": ""904360"", ""Layout"": ""7+1"", ""Plot space"": ""793m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""3"", ""Užitná plocha"": ""140m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,714/ m2"", """": ""Garage""}",True,904360,"€2,714/ m2",,G - Extremely uneconomical,08/06/2025,140m²,,Good,7+1,Over 50 years,793m²,3,
"{""Listing ID"": ""904361"", ""Layout"": ""6+1"", ""Plot space"": ""350m²"", ""EPC"": ""B - Very economical"", ""Total floors"": ""3"", ""Užitná plocha"": ""186m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€10/ m2"", """": ""Parking""}",True,904361,€10/ m2,,B - Very economical,08/06/2025,186m²,,Good,6+1,Over 50 years,350m²,3,
"{""Listing ID"": ""904362"", ""Layout"": ""6+1"", ""Plot space"": ""618m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""2"", ""Užitná plocha"": ""154m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,149/ m2"", """": ""Garage""}",True,904362,"€3,149/ m2",,F - Very uneconomical,08/06/2025,154m²,,After reconstruction,6+1,Over 50 years,618m²,2,
