Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""897146"", ""Plot space"": ""2,528m²"", ""Plot type"": ""Meadow"", ""Location"": ""Solitude"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 29/ m2"", """": ""MHD 3 minutes by car""}",True,897146,CZK 29/ m2,,Very good,Solitude,,,,,"2,528m²",Meadow,,
"{""Listing ID"": ""905762"", ""Layout"": ""6+1"", ""Plot space"": ""400m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""2"", ""Užitná plocha"": ""200m²"", ""Available from"": ""03/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€12,900/ m2"", """": ""MHD 6 minutes on foot""}",True,905762,"€12,900/ m2",,Good,,03/06/2025,200m²,6+1,E - Wasteful,400m²,,Over 50 years,2
"{""Listing ID"": ""905766"", ""Available from"": ""03/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,570/ m2"", ""Užitná plocha"": ""214m²"", ""Plot space"": ""1,592m²"", ""EPC"": ""B - Very economical"", ""Total floors"": ""3"", """": ""Garage""}",True,905766,"€2,570/ m2",,After reconstruction,,03/06/2025,214m²,,B - Very economical,"1,592m²",,Over 50 years,3
"{""Listing ID"": ""905767"", ""Plot space"": ""822m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€213/ m2"", """": ""MHD 0 minutes on foot""}",True,905767,€213/ m2,,,,03/06/2025,,,,822m²,,,
"{""Listing ID"": ""905769"", ""Fully furnished"": ""Fully furnished"", ""Floor"": ""4. podlaží"", ""Price per unit"": ""€17/ m2"", ""Užitná plocha"": ""35m²"", ""Available from"": ""04/06/2025"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,905769,€17/ m2,4. podlaží,,,04/06/2025,35m²,,,,,Over 50 years,
"{""Listing ID"": ""905772"", ""Plot space"": ""785m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""2"", ""Užitná plocha"": ""154m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,591/ m2"", """": ""MHD 2 minutes on foot""}",True,905772,"€2,591/ m2",,Good,,,154m²,,G - Extremely uneconomical,785m²,,Over 50 years,2
"{""Listing ID"": ""905773"", ""Layout"": ""6+1"", ""Plot space"": ""1,134m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""200m²"", ""Available from"": ""04/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,745/ m2"", """": ""Garage""}",True,905773,"€2,745/ m2",,After reconstruction,,04/06/2025,200m²,6+1,D - Less economical,"1,134m²",,Over 50 years,2
"{""Listing ID"": ""905774"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,897/ m2"", ""Užitná plocha"": ""97m²"", ""Plot space"": ""163m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""2"", """": ""MHD 3 minutes on foot""}",True,905774,"€4,897/ m2",,Good,,,97m²,4+1,F - Very uneconomical,163m²,,Over 50 years,2
"{""Listing ID"": ""905775"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""120m²"", ""Plot space"": ""235m²"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€12/ m2"", """": ""Garage""}",True,905775,€12/ m2,,After reconstruction,,,120m²,5+1,B - Very economical,235m²,,Over 50 years,
"{""Listing ID"": ""905776"", ""Layout"": ""3+kk"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€3,646/ m2"", ""Užitná plocha"": ""82m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,905776,"€3,646/ m2",,Good,,,82m²,3+kk,C - Economical,,,Over 50 years,
"{""Listing ID"": ""905777"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€2,908/ m2"", ""Užitná plocha"": ""120m²"", ""Available from"": ""04/06/2025"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,905777,"€2,908/ m2",1. podlaží,Good,,04/06/2025,120m²,4+1,C - Economical,,,Over 50 years,
"{""Listing ID"": ""905779"", ""Plot space"": ""5,372m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€19/ m2"", """": ""MHD 0 minutes on foot""}",True,905779,€19/ m2,,,,03/06/2025,,,,"5,372m²",,,
"{""Listing ID"": ""905781"", ""Layout"": ""3+1"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€6,750/ m2"", ""Užitná plocha"": ""80m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,905781,"€6,750/ m2",,Good,,,80m²,3+1,C - Economical,,,Over 50 years,
"{""Listing ID"": ""905782"", ""Layout"": ""4+1"", ""Condition"": ""Before reconstruction"", ""Price per unit"": ""€1,339/ m2"", ""Užitná plocha"": ""112m²"", ""Plot space"": ""1,058m²"", ""Total floors"": ""1"", """": ""MHD 1 minute on foot""}",True,905782,"€1,339/ m2",,Before reconstruction,,,112m²,4+1,,"1,058m²",,,1
