Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""875776"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Reconstruction"": ""Bathroom unit"", ""Užitná plocha"": ""45m²"", ""Location"": ""The quiet part"", ""Available from"": ""19/05/2025"", ""Floor"": ""5. podlaží z 7"", ""Building construction"": ""Prefab concrete"", ""Heating"": ""Central"", ""Price per unit"": ""CZK 137,556/ m2"", """": ""Basement: 12 m²""}",True,875776.0,"CZK 137,556/ m2",5. podlaží z 7,Very good,The quiet part,19/05/2025,45m²,2+kk,C - Economical,,,,
"{""Listing ID"": ""907070"", ""Layout"": ""3+1"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Užitná plocha"": ""81m²"", ""Location"": ""The quiet part"", ""Available from"": ""19/05/2025"", ""Floor"": ""1. podlaží z 4"", ""Building construction"": ""Prefab concrete"", ""Price per unit"": ""CZK 104,815/ m2"", """": ""MHD 3 minutes on foot""}",True,907070.0,"CZK 104,815/ m2",1. podlaží z 4,Very good,The quiet part,19/05/2025,81m²,3+1,C - Economical,,,,
"{""Listing ID"": ""883693"", ""Layout"": ""3+kk"", ""Location"": ""The quiet part"", ""Available from"": ""06/03/2025"", ""Condition"": ""Good"", ""Building construction"": ""Mixed"", ""Price per unit"": ""CZK 28,000/ m2"", ""Užitná plocha"": ""120m²"", ""Poloha domu"": ""Corner"", ""Fully furnished"": ""Fully furnished"", ""Plot space"": ""1,195m²"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", """": ""Garage""}",True,883693.0,"CZK 28,000/ m2",,Good,The quiet part,06/03/2025,120m²,3+kk,G - Extremely uneconomical,"1,195m²",,,
"{""Listing ID"": ""807198"", ""Available from"": ""12/10/2023"", ""Ownership"": ""Personal"", ""Price per unit"": ""CZK 8,071/ m2"", ""Location"": ""The quiet part"", ""Plot space"": ""1,016m²"", ""Plot type"": ""Building"", """": ""MHD 5 minutes on foot""}",True,807198.0,"CZK 8,071/ m2",,,The quiet part,12/10/2023,,,,"1,016m²",Building,,
"{""Listing ID"": ""907098"", ""Layout"": ""3+1"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Good"", ""Ownership"": ""Cooperative"", ""EPC"": ""G - Extremely uneconomical"", ""Heating"": ""Central"", ""Užitná plocha"": ""74m²"", ""Location"": ""Centre"", ""Available from"": ""19/05/2025"", ""Floor"": ""4. podlaží z 6"", ""Building construction"": ""Brick"", ""Age"": ""Over 50 years"", ""Price per unit"": ""CZK 52,703/ m2"", """": ""Basement: 3 m²""}",True,907098.0,"CZK 52,703/ m2",4. podlaží z 6,Good,Centre,19/05/2025,74m²,3+1,G - Extremely uneconomical,,,Over 50 years,
"{""Listing ID"": ""908052"", ""Layout"": ""Other"", ""Location"": ""The quiet part"", ""Available from"": ""22/05/2025"", ""Condition"": ""Wrong"", ""Building construction"": ""Mixed"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""252m²"", ""Poloha domu"": ""Corner"", ""Fully furnished"": ""Unfurnished"", ""Plot space"": ""252m²"", ""Ownership"": ""Personal"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""CZK 12,659/ m2"", """": ""Parking""}",True,908052.0,"CZK 12,659/ m2",,Wrong,The quiet part,22/05/2025,252m²,Other,E - Wasteful,252m²,,Over 50 years,
"{""Listing ID"": ""906551"", ""Layout"": ""Studio"", ""Fully furnished"": ""Partly"", ""Condition"": ""New-build"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Užitná plocha"": ""31m²"", ""Location"": ""Residences"", ""Available from"": ""17/05/2025"", ""Floor"": ""1. podlaží z 6"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 190,323/ m2"", """": ""Garage""}",True,906551.0,"CZK 190,323/ m2",1. podlaží z 6,New-build,Residences,17/05/2025,31m²,Studio,B - Very economical,,,,
"{""Listing ID"": ""908072"", ""Layout"": ""1 bedroom"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""36m²"", ""Location"": ""The quiet part"", ""Available from"": ""22/05/2025"", ""Floor"": ""5. podlaží z 10"", ""Building construction"": ""Prefab concrete"", ""Price per unit"": ""CZK 97,222/ m2"", """": ""Parking""}",True,908072.0,"CZK 97,222/ m2",5. podlaží z 10,Very good,The quiet part,22/05/2025,36m²,1 bedroom,G - Extremely uneconomical,,,,
"{""Listing ID"": ""525639"", ""Location"": ""The quiet part"", ""Available from"": ""31/05/2025"", ""Ownership"": ""Personal"", ""Price per unit"": ""CZK 38/ m2"", ""Plocha"": ""130m²"", ""Fully furnished"": ""Unfurnished"", ""Plot space"": ""130m²"", ""Plot type"": ""Garden"", """": ""Pets are welcome""}",True,525639.0,CZK 38/ m2,,,The quiet part,31/05/2025,,,,130m²,Garden,,
"{""Listing ID"": ""908076"", ""Poloha rekreačního objektu"": ""Separate"", ""Available from"": ""22/05/2025"", ""Condition"": ""Good"", ""Building construction"": ""Wooden"", ""Price per unit"": ""CZK 39,623/ m2"", ""Užitná plocha"": ""53m²"", ""Fully furnished"": ""Partly"", ""Plot space"": ""595m²"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", """": ""Parking""}",True,908076.0,"CZK 39,623/ m2",,Good,,22/05/2025,53m²,,G - Extremely uneconomical,595m²,,,
